date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:59:41	290/290	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2025%20Mar%202019%2021:59:40%20GMT	http://warethemes.com/robots.txt		(from )
22:59:41	41390/41390	---MCZ	200	added ('OK')	text/html	etag:W/%22a1ae-574cf56225a31%22	http://warethemes.com/html/bready/	C:/Users/wejdene/Documents/admin/sarraaaa/warethemes.com/html/bready/index.html	(from )
22:59:42	2665/2665	---M--	200	added ('OK')	image/png	etag:%22a69-574cf55c70b70%22	http://warethemes.com/html/bready/apple-touch-icon.png	C:/Users/wejdene/Documents/admin/sarraaaa/warethemes.com/html/bready/apple-touch-icon.png	(from http://warethemes.com/html/bready/)
22:59:43	2665/2665	---M--	200	added ('OK')	image/png	etag:%22a69-574cf5609f042%22	http://warethemes.com/html/bready/favicon.png	C:/Users/wejdene/Documents/admin/sarraaaa/warethemes.com/html/bready/favicon.png	(from http://warethemes.com/html/bready/)
22:59:44	29063/29063	---MCZ	200	added ('OK')	text/css	etag:W/%227187-571e9a75f547c%22	http://warethemes.com/html/bready/plugins/font-awesome/css/font-awesome.min.css	C:/Users/wejdene/Documents/admin/sarraaaa/warethemes.com/html/bready/plugins/font-awesome/css/font-awesome.min.css	(from http://warethemes.com/html/bready/)
22:59:45	7422/7422	---MCZ	200	added ('OK')	text/css	etag:W/%221cfe-571e9a75f15fc%22	http://warethemes.com/html/bready/plugins/bakery-icon/style.css	C:/Users/wejdene/Documents/admin/sarraaaa/warethemes.com/html/bready/plugins/bakery-icon/style.css	(from http://warethemes.com/html/bready/)
22:59:46	121260/121260	---MCZ	200	added ('OK')	text/css	etag:W/%221d9ac-571e9a75f353c%22	http://warethemes.com/html/bready/plugins/bootstrap/dist/css/bootstrap.min.css	C:/Users/wejdene/Documents/admin/sarraaaa/warethemes.com/html/bready/plugins/bootstrap/dist/css/bootstrap.min.css	(from http://warethemes.com/html/bready/)
22:59:46	3636/3636	---MCZ	200	added ('OK')	text/css	etag:W/%22e34-571e9a75fd17c%22	http://warethemes.com/html/bready/plugins/owl-carousel/assets/owl.carousel.css	C:/Users/wejdene/Documents/admin/sarraaaa/warethemes.com/html/bready/plugins/owl-carousel/assets/owl.carousel.css	(from http://warethemes.com/html/bready/)
22:59:46	958/958	---MCZ	200	added ('OK')	text/css	etag:W/%223be-571e9a75f92fc%22	http://warethemes.com/html/bready/plugins/jquery-bar-rating/dist/themes/fontawesome-stars.css	C:/Users/wejdene/Documents/admin/sarraaaa/warethemes.com/html/bready/plugins/jquery-bar-rating/dist/themes/fontawesome-stars.css	(from http://warethemes.com/html/bready/)
22:59:47	6650/6650	---MCZ	200	added ('OK')	text/css	etag:W/%2219fa-571e9a75f15fc%22	http://warethemes.com/html/bready/plugins/bootstrap-select/dist/css/bootstrap-select.min.css	C:/Users/wejdene/Documents/admin/sarraaaa/warethemes.com/html/bready/plugins/bootstrap-select/dist/css/bootstrap-select.min.css	(from http://warethemes.com/html/bready/)
